展;zhǎn;TRIỂN;"nở; mở; giãn ra; thả lỏng; thư giãn; thi triển; triển khai; thể hiện; hoãn lại; kéo dài; bày ra; xếp ra; triển lãm; trưng bày; mở rộng; phát triển";""
操;cāo;THAO;"cầm; nắm; nhấc; làm; đảm nhiệm; lái; nắm; nắm vững; điều khiển; sử dụng; nói tiếng nước ngoài; nói tiếng phương ngôn; tập luyện; tập; thao luyện";""
赛;sài;TÁI.TRẠI;"đấu; thi đấu; hơn; thắng; sánh với; tế tạ ơn (mê tín)";""
晾;liàng;LƯỢNG;"hong; phơi; hong cho khô; phơi; bỏ rơi; gạt (ra); cho ra rìa; để nguội; làm mát";""
锁;suǒ;TOẢ;"cái khoá; xiềng; xích; vật giống khoá";""
坤;kūn;KHÔN;"quẻ khôn (kinh Dịch); gái; nữ; nữ giới; phái nữ";""
趣;qù;THÚ;"hứng thú; thích thú; hân hoan; quan tâm; sở thích; chí hướng";""
放肆;fàngsì;PHÓNG TỨ;"nhờn; láo; suồng sã; láo xược; càn rỡ; ngang ngược; hỗn xược; vô lễ";""
股;gǔ;CỔ;"sợi; dòng; con; luồng; dòng; mùi; toán; tốp";""
招;zhāo;CHIÊU;"gọi; vẫy; vẫy tay; mộ; gọi; chiêu; tuyển; triệu; gây; chuốc; dẫn tới; gây ra; dẫn đến (việc không tốt); làm; trêu; khiến; trêu chọc; trêu ghẹo; khai; nhận tội; xưng tội; lây nhiễm; truyền nhiễm";""
炸;zhá;TẠC;"chiên; rán; trụng; chần";""
浸;jìn;TẨM;"ngâm; dầm; ngâm trong nước; thấm; ngấm";""
葱;cōng;THÔNG;"hành; cây hành; hành lá";""
竞;jìng;CẠNH;"cạnh tranh; thi; thi đua; ganh đua; đua tranh";""
叹;tàn;THÁN;"than thở; than; thán; khen ngợi; ca ngợi; ngâm nga";""
汇;huì;HỐI;"hợp thành; hội tụ; tụ hội; hợp lại; hội; hợp; tập hợp; tổng hợp; thu thập; gửi; chuyển tiền (qua bưu điện, ngân hàng)";""
掐;qiā;KHÁP;"ngắt; cấu; bấm; véo; vặt; bóp";""
却;què;KHƯỚC;"lại; nhưng; mà lại; nhưng mà; nhưng lại";""
毒;dú;ĐỘC;"độc; chất độc; độc hại; ảnh hưởng xấu; thuốc phiện; ma tuý; virus; virus máy tính";""
摩;mó;MA;"mát xa; tiếp xúc; xem xét; quan sát; nghiền ngẫm; tham quan học hỏi; đụng chạm; xoa tay";""
耀;yào;DIỆU;"quang vinh; ánh sáng";""
陷;xiàn;HÃM;"hố bẫy; cạm hố; khuyết điểm; thiếu sót; lỗi lầm";""
犯;fàn;PHẠM;"phạm; trái phép; xâm phạm; xâm chiếm; đụng chạm; đụng; mắc; phạm; nổi; tái phát (bệnh cũ); trở lại (một thói quen cũ)";""
妄;wàng;VỌNG;"vô lý; hoang đường; xằng; bừa; xằng bậy; bốc phét";""
匠;jiàng;TƯỢNG;"thợ; thợ thủ công; bậc thầy";""
箱;xiāng;SƯƠNG.TƯƠNG;"rương; hòm; va li; hộp; hòm (vật giống hòm)";""
戏;xì;HÍ;"trò; cảnh; kịch; xiếc; hí kịch; tạp kỹ; bộ phim";""
建;jiàn;KIẾN;"xây; xây dựng; thiết lập; thành lập; xây dựng; nêu lên; đề nghị; kiến nghị";""
递;dì;ĐỆ;"truyền đạt; chuyển; chuyển giao; đưa; đệ trình; lần lượt; theo thứ tự";""
弦;xián;HUYỀN;"dây cung; sợi dây; dây đàn; dây cót (đồng hồ); dây cung; cát tuyến (đường nối hai điểm của đường tròn); cạnh huyền (của tam giác vuông); trăng lưỡi liềm";""
偶;ǒu;NGẪU;"tượng gỗ; tượng đất; vợ; chồng; bạn đời; đôi lứa";""
怨;yuàn;OÁN;"trách móc; oán trách; oán hận; thù hận; căm hận";""
摘;zhāi;TRÍCH;"hái; bẻ; ngắt; lấy; cởi ra; tháo ra; trảy; bứt; chọn; chọn lựa; chọn lọc; vay; mượn; vay nóng; giành; giành được; đạt được";""
铁;tiě;THIẾT;"sắt (ký hiệu Fe); đao thương; vũ khí; họ Thiết";""
绑;bǎng;BẢNG;"trói; băng; quấn; ràng rịt; cột; gói; buộc; niềng";""
治;zhì;TRỊ;"lo liệu; quản lý; điều trị; trị bệnh; chữa trị; tiêu diệt; diệt (côn trùng có hại); trừng trị; nghiên cứu; dạy bảo; dạy dỗ";""
湿;shī;THẤP;"ẩm ướt";""
堪;kān;KHAM;"chịu nổi; chịu được; kham nổi; chịu đựng nổi; có thể; có khả năng; phù hợp với; thích hợp với";""
滑;huá;HOẠT;"lưu thông, không ngừng; trơn, nhẵn; khôi hài, hài hước";""
闭;bì;BẾ;"đóng; khép; ngậm; nhắm (mắt); bịt; chặn; làm tắc; kết thúc; chấm dứt; ngưng; dừng; bế";""
扇;shàn;PHIẾN;"quạt; cái quạt; cánh; tấm (đồ vật hình quạt)";""
益;yì;ÍCH;"lợi ích; ích; họ Ích; tên Ích";""
攀;pān;PHÀN;"leo; trèo; vịn; bám; víu (bám vào vật để leo lên); bấu víu; nhờ vả; kết thân với những người có địa vị cao hơn mình; dính líu; bắt chuyện";""
闷;mèn;MUỘN;"buồn rầu; không vui";""
厚;hòu;HẬU;"dày; sâu đậm; sâu nặng (tình cảm); hiền hậu; phúc hậu; độ lượng; lớn; nhiều; nặng; nồng; đậm; đượm; nặng (mùi vị); giàu; giàu có; phong phú";""
罢;bà;BÃI;"ngừng; dừng; thôi; nghỉ; bãi; cách; bỏ; cho thôi; kết thúc; hoàn tất; xong xuôi; xong";""
勉;miǎn;MIỄN;"nỗ lực; gắng sức; cố gắng; khuyến khích; miễn cưỡng; gắng gượng";""
妥;tuǒ;THOẢ;"thoả đáng; ổn thoả; đủ; xong xuôi (sau động từ)";""
臭;chòu;XÚ;"hôi; khó ngửi; thối; khắm; ôi (mùi); thối tha; xấu xa; ghê tởm; đáng ghét";""
瞪;dèng;TRỪNG;"trừng; trợn; trơ; trố (mắt); trừng; lườm; nguýt; trợn mắt nhìn (không hài lòng)";""
涨;zhǎng;TRƯỚNG;"cao; lên cao; tăng; nâng cao (mực nước, vật giá)";""
硬;yìng;NGẠNH;"cứng; rắn; cứng nhắc; kiên cường; kiên định; kiên quyết; giỏi; tốt; vững vàng; không lưu loát; thiếu tự nhiên; không linh hoạt; không thể thay đổi; cố định";""
坟;fén;PHẦN;"mộ; mồ; phần mộ; mồ mả";""
